,D1A_FAIXAID,D2_SEXO,D3_ESCOLA,OCUPA,Q1,Q12P1_B,Q12P2_B,P18,Q502,Q405,D10,majoritarian
1,4,2,5,2,4,9,2,5,1,3,5,9
2,2,1,5,1,4,9,2,2,4,3,3,9
3,2,2,6,4,4,9,2,2,2,3,3,7
4,4,1,3,3,4,9,2,5,2,1,3,8
5,5,2,0,1,4,9,2,4,4,3,3,11
6,2,2,4,4,4,9,2,1,3,4,5,8
7,3,1,8,2,3,9,2,5,1,5,5,11
8,3,2,8,1,4,9,2,2,1,1,5,4
9,3,1,6,1,2,99,99,5,1,5,5,11
10,2,1,2,4,3,99,99,1,5,2,5,8
11,5,1,2,4,3,9,2,5,5,2,3,12
12,3,2,2,4,4,9,2,1,3,5,5,9
13,6,1,6,3,3,60,60,5,5,1,4,11
14,2,2,2,3,2,9,2,2,3,5,3,10
15,3,1,4,2,3,9,2,5,4,2,3,11
16,4,2,8,4,2,9,2,5,3,5,3,13
17,4,1,8,4,2,9,2,5,5,2,3,12
18,5,1,6,3,4,5,1,1,5,1,97,7
19,6,1,2,3,3,9,2,2,2,2,3,6
20,7,1,3,3,3,9,2,5,2,5,3,12
21,2,2,4,4,2,9,2,1,4,5,5,10
22,2,1,5,4,3,99,2,5,2,3,5,10
23,3,2,6,4,4,9,2,5,4,5,5,14
24,5,2,8,3,2,5,1,5,1,5,3,11
25,6,2,6,3,4,5,1,4,4,5,3,13
26,7,2,8,4,4,98,1,5,1,2,5,8
27,2,1,6,3,4,9,2,1,4,5,5,10
28,4,2,6,1,3,9,2,2,1,1,3,4
29,3,1,4,3,4,60,60,1,1,5,2,7
30,2,1,6,4,3,9,2,2,2,2,5,6
31,4,2,2,4,4,8,2,2,3,5,5,10
32,4,1,6,1,2,12,1,1,1,2,3,4
33,2,2,6,4,3,9,2,4,3,3,3,10
34,4,2,7,2,3,9,2,2,5,1,3,8
35,2,1,6,4,4,5,1,4,1,5,3,10
36,7,2,1,4,4,5,1,5,5,3,5,13
37,5,1,4,3,3,9,2,5,4,1,3,10
38,6,1,0,4,4,5,1,1,1,1,3,3
39,4,2,5,3,3,5,1,1,1,1,3,3
40,2,1,5,1,2,9,2,1,1,2,5,4
41,3,2,6,1,3,6,60,2,1,2,5,5
42,5,1,6,1,3,5,1,1,1,4,3,6
43,3,1,3,1,3,9,2,1,4,1,5,6
44,4,1,5,3,3,5,1,4,4,5,3,13
45,2,2,2,4,3,9,2,5,1,2,3,8
46,4,1,5,3,4,5,1,1,1,5,3,7
47,2,1,4,3,4,9,2,1,5,5,7,11
48,4,2,7,3,3,5,1,1,5,4,7,10
49,5,2,7,4,3,60,99,2,2,5,7,9
50,2,2,6,4,4,60,99,1,5,5,97,11
51,7,1,2,3,1,9,2,4,5,1,5,10
52,5,2,4,4,3,9,99,5,5,5,5,15
53,3,2,1,3,3,5,1,5,5,2,7,12
54,4,2,5,4,3,5,1,4,1,2,3,7
55,5,1,4,3,3,6,50,5,1,5,3,11
56,2,1,5,4,4,9,2,2,4,2,7,8
57,2,2,6,1,4,3,99,4,5,3,3,12
58,3,1,8,1,2,9,2,5,1,1,5,7
59,3,1,6,1,4,9,99,4,2,5,5,11
60,6,1,4,1,1,5,2,2,1,1,3,4
61,5,1,6,1,2,99,99,5,5,2,3,12
62,2,1,6,4,2,9,2,4,4,5,3,13
63,6,2,6,3,4,50,50,5,3,5,3,13
64,3,2,6,1,3,9,2,4,3,3,5,10
65,5,2,1,3,3,5,50,5,4,5,5,14
66,2,2,7,4,3,5,1,2,4,5,5,11
67,4,1,1,2,1,9,2,1,1,1,3,3
68,7,2,6,3,3,5,99,1,4,4,3,9
69,4,2,6,4,3,3,1,4,1,1,3,6
70,2,2,5,1,3,3,2,4,2,2,5,8
71,2,1,7,4,2,3,1,5,5,5,3,15
72,4,1,6,1,1,3,1,4,4,4,3,12
73,4,2,6,1,3,9,2,2,2,5,3,9
74,5,2,3,1,2,9,2,1,5,5,3,11
75,3,2,7,1,2,5,1,1,5,5,3,11
76,3,1,6,1,4,9,2,4,2,4,3,10
77,5,1,6,4,1,5,1,5,5,1,4,11
78,3,2,1,3,2,5,1,1,4,1,5,6
79,3,1,1,3,4,9,2,5,5,1,5,11
80,4,2,2,3,4,12,60,1,3,5,3,9
81,3,2,6,4,4,9,99,2,2,2,97,6
82,4,1,6,4,4,9,2,5,5,4,5,14
83,7,2,1,4,3,99,99,1,1,1,3,3
84,4,2,9,1,3,3,1,5,5,2,3,12
85,4,1,8,4,2,5,1,5,5,5,3,15
86,3,1,5,4,3,5,1,2,4,2,5,8
87,2,2,7,1,1,3,1,5,5,5,3,15
88,3,1,5,1,3,5,99,4,1,4,3,9
89,5,1,2,3,4,5,1,1,4,2,3,7
90,3,2,6,3,3,99,1,5,5,5,97,15
91,6,1,1,2,2,5,2,5,5,5,3,15
92,4,2,4,3,2,5,1,1,1,4,5,6
93,1,1,4,4,3,99,99,2,4,4,3,10
94,2,1,3,1,1,99,99,2,2,4,5,8
95,4,1,4,3,2,9,2,1,5,2,3,8
96,7,1,2,3,2,5,1,5,1,2,3,8
97,1,2,6,3,3,9,2,4,5,5,5,14
98,6,2,2,3,4,5,1,1,2,1,5,4
99,3,1,9,4,1,99,2,5,5,5,5,15
100,3,1,3,3,1,6,1,1,5,5,3,11
101,4,2,7,1,4,99,99,2,5,1,5,8
102,2,1,5,1,2,9,2,4,4,4,5,12
103,5,2,2,4,2,9,99,3,4,1,3,8
104,3,2,6,3,3,9,2,2,5,4,5,11
105,6,1,1,3,1,9,2,5,2,1,5,8
106,2,2,4,1,4,99,2,3,5,2,5,10
107,5,1,5,4,4,5,1,5,1,5,3,11
108,3,2,6,1,3,9,2,1,2,4,5,7
109,3,2,1,1,2,9,2,4,2,1,3,7
110,2,2,5,4,3,9,2,4,5,5,5,14
111,6,2,1,3,3,99,1,2,4,4,3,10
112,7,1,0,3,4,5,1,2,2,5,3,9
113,2,1,5,1,3,9,2,5,3,5,2,13
114,2,1,3,3,4,99,99,4,5,5,5,14
115,4,1,1,3,4,9,2,1,5,2,5,8
116,5,1,2,3,1,99,99,1,5,5,3,11
117,4,1,6,4,4,5,1,2,2,1,3,5
118,3,1,5,4,3,9,2,2,2,2,5,6
119,5,1,1,1,1,99,99,1,1,1,3,3
120,2,1,4,1,4,5,99,1,5,5,3,11
121,2,2,8,1,2,99,2,4,4,5,5,13
122,3,1,8,4,2,5,1,5,5,5,3,15
123,2,1,5,4,3,9,99,5,1,5,5,11
124,3,2,6,4,4,5,2,2,1,1,97,4
125,4,1,1,3,1,9,2,1,1,1,5,3
126,6,2,2,3,3,3,2,2,5,1,3,8
127,4,1,6,4,2,5,1,5,5,5,5,15
